Time (Unix),Time (yyyy-mm-dd hh:mm:ss),Value
1717605420,2024-06-05 16:37:00,-0.005779739
1717605480,2024-06-05 16:38:00,-0.006190481
1717605540,2024-06-05 16:39:00,-0.00524516
1717605600,2024-06-05 16:40:00,-0.018803724
1717605660,2024-06-05 16:41:00,-0.024425919
1717605720,2024-06-05 16:42:00,-0.026159252
1717605780,2024-06-05 16:43:00,-0.032930846
1717605840,2024-06-05 16:44:00,-0.035340148
1717605900,2024-06-05 16:45:00,-0.027252391
1717605960,2024-06-05 16:46:00,-0.01612207
1717606020,2024-06-05 16:47:00,0.002258917
1717606080,2024-06-05 16:48:00,0.021420557
1717606140,2024-06-05 16:49:00,0.038981152
1717606200,2024-06-05 16:50:00,0.049383543
1717606260,2024-06-05 16:51:00,0.049504122
1717606320,2024-06-05 16:52:00,0.048364358
1717606380,2024-06-05 16:53:00,0.046800561
1717606440,2024-06-05 16:54:00,0.062193022
1717606500,2024-06-05 16:55:00,0.07154161
1717606560,2024-06-05 16:56:00,0.067010258
1717606620,2024-06-05 16:57:00,0.072947116
1717606680,2024-06-05 16:58:00,0.076767194
1717606740,2024-06-05 16:59:00,0.07569441
1717606800,2024-06-05 17:00:00,0.062815227
1717606860,2024-06-05 17:01:00,0.05919632
1717606920,2024-06-05 17:02:00,0.058861321
1717606980,2024-06-05 17:03:00,0.051570239
1717607040,2024-06-05 17:04:00,0.049769302
1717607100,2024-06-05 17:05:00,0.051660086
1717607160,2024-06-05 17:06:00,0.056948193
1717607220,2024-06-05 17:07:00,0.050063966
1717607280,2024-06-05 17:08:00,0.043302091
1717607340,2024-06-05 17:09:00,0.047083504
1717607400,2024-06-05 17:10:00,0.04446799
1717607460,2024-06-05 17:11:00,0.050304063
1717607520,2024-06-05 17:12:00,0.059743675
1717607580,2024-06-05 17:13:00,0.065644868
1717607640,2024-06-05 17:14:00,0.067924778
1717607700,2024-06-05 17:15:00,0.070205337
1717607760,2024-06-05 17:16:00,0.088287196
1717607820,2024-06-05 17:17:00,0.096190792
1717607880,2024-06-05 17:18:00,0.100154114
1717607940,2024-06-05 17:19:00,0.081369205
1717608000,2024-06-05 17:20:00,0.025439499
1717608060,2024-06-05 17:21:00,-0.004709866
1717608120,2024-06-05 17:22:00,-0.029872931
1717608180,2024-06-05 17:23:00,-0.044061966
1717608240,2024-06-05 17:24:00,-0.049499393
1717608300,2024-06-05 17:25:00,-0.057973737
1717608360,2024-06-05 17:26:00,-0.068730858
1717608420,2024-06-05 17:27:00,-0.071597197
1717608480,2024-06-05 17:28:00,-0.072269147
1717608540,2024-06-05 17:29:00,-0.067943533
1717608600,2024-06-05 17:30:00,-0.065375676
1717608660,2024-06-05 17:31:00,-0.068067234
1717608720,2024-06-05 17:32:00,-0.071929083
1717608780,2024-06-05 17:33:00,-0.077325928
1717608840,2024-06-05 17:34:00,-0.085419456
1717608900,2024-06-05 17:35:00,-0.084046358
1717608960,2024-06-05 17:36:00,-0.080696536
1717609020,2024-06-05 17:37:00,-0.088440162
1717609080,2024-06-05 17:38:00,-0.081796677
1717609140,2024-06-05 17:39:00,-0.08123558
1717609200,2024-06-05 17:40:00,-0.080412662
1717609260,2024-06-05 17:41:00,-0.088352397
1717609320,2024-06-05 17:42:00,-0.104806008
1717609380,2024-06-05 17:43:00,-0.121288968
1717609440,2024-06-05 17:44:00,-0.132597396
1717609500,2024-06-05 17:45:00,-0.147325112
1717609560,2024-06-05 17:46:00,-0.162792978
1717609620,2024-06-05 17:47:00,-0.17624737
1717609680,2024-06-05 17:48:00,-0.177600556
1717609740,2024-06-05 17:49:00,-0.171124556
1717609800,2024-06-05 17:50:00,-0.167219717
1717609860,2024-06-05 17:51:00,-0.158457582
1717609920,2024-06-05 17:52:00,-0.134566364
1717609980,2024-06-05 17:53:00,-0.123368784
1717610040,2024-06-05 17:54:00,-0.113580723
1717610100,2024-06-05 17:55:00,-0.109395995
1717610160,2024-06-05 17:56:00,-0.103283219
1717610220,2024-06-05 17:57:00,-0.092658301
1717610280,2024-06-05 17:58:00,-0.08721874
1717610340,2024-06-05 17:59:00,-0.085552774
1717610400,2024-06-05 18:00:00,-0.095956331
1717610460,2024-06-05 18:01:00,-0.118704914
1717610520,2024-06-05 18:02:00,-0.119882807
1717610580,2024-06-05 18:03:00,-0.117844031
1717610640,2024-06-05 18:04:00,-0.110915144
1717610700,2024-06-05 18:05:00,-0.093365557
1717610760,2024-06-05 18:06:00,-0.083816844
1717610820,2024-06-05 18:07:00,-0.084163387
1717610880,2024-06-05 18:08:00,-0.075418787
1717610940,2024-06-05 18:09:00,-0.075765112
1717611000,2024-06-05 18:10:00,-0.071982146
1717611060,2024-06-05 18:11:00,-0.068923901
1717611120,2024-06-05 18:12:00,-0.07220392
1717611180,2024-06-05 18:13:00,-0.079526968
1717611240,2024-06-05 18:14:00,-0.090739874
1717611300,2024-06-05 18:15:00,-0.091957509
1717611360,2024-06-05 18:16:00,-0.088824231
1717611420,2024-06-05 18:17:00,-0.076861415
1717611480,2024-06-05 18:18:00,-0.071120048
1717611540,2024-06-05 18:19:00,-0.057036412
1717611600,2024-06-05 18:20:00,-0.05148671
1717611660,2024-06-05 18:21:00,-0.041103476
1717611720,2024-06-05 18:22:00,-0.030617427
1717611780,2024-06-05 18:23:00,-0.018694541
1717611840,2024-06-05 18:24:00,-0.004122541
1717611900,2024-06-05 18:25:00,-0.000779549
1717611960,2024-06-05 18:26:00,0.001736807
1717612020,2024-06-05 18:27:00,0.00474151
1717612080,2024-06-05 18:28:00,0.00703361
1717612140,2024-06-05 18:29:00,0.002383448
1717612200,2024-06-05 18:30:00,-0.008873328
1717612260,2024-06-05 18:31:00,-0.014783641
1717612320,2024-06-05 18:32:00,-0.014475384
1717612380,2024-06-05 18:33:00,-0.007695121
1717612440,2024-06-05 18:34:00,0.001701326
1717612500,2024-06-05 18:35:00,0.005844965
1717612560,2024-06-05 18:36:00,0.009407704
1717612620,2024-06-05 18:37:00,0.005095801
1717612680,2024-06-05 18:38:00,0.002696495
1717612740,2024-06-05 18:39:00,-0.002404916
1717612800,2024-06-05 18:40:00,-0.001013657
1717612860,2024-06-05 18:41:00,0.005097598
1717612920,2024-06-05 18:42:00,0.006237783
1717612980,2024-06-05 18:43:00,0.005464563
1717613040,2024-06-05 18:44:00,0.008386233
1717613100,2024-06-05 18:45:00,0.002921601
1717613160,2024-06-05 18:46:00,-0.000491675
1717613220,2024-06-05 18:47:00,0.003596404
1717613280,2024-06-05 18:48:00,0.014735538
1717613340,2024-06-05 18:49:00,0.014918785
1717613400,2024-06-05 18:50:00,0.043211428
1717613460,2024-06-05 18:51:00,0.060498126
